gene_name,sample_name,gene_family,drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
mef(en2),sample-5,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,25,91.38,2.43,,10000000,9.88,0.96
mel,sample-5,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,83,100,9.45,Parabacteroides distasonis (chromosome): 9; Parabacteroides distasonis (plasmid): 11; Streptococcus (chromosome): 10; ,10000000,32.79,3.73
qacg,sample-5,small multidrug resistance (SMR) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,7.41,0.07,,10000000,0.79,0.03
sat-4,sample-5,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,1,27.62,0.28,,10000000,0.4,0.11
tet(32),sample-5,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,44.8438,90.24,Unknown taxonomy (chromosome or plasmid),16,64.01,0.95,Bifidobacterium longum (chromosome): 1; ,10000000,6.32,0.38
tet(40),sample-5,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,12,71.66,1.33,,10000000,4.74,0.53
tet(o),sample-5,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,43.75,98.93,Unknown taxonomy (chromosome or plasmid),27,84.01,2.1,Streptococcus suis (chromosome or plasmid): 1; ,10000000,10.67,0.83
tet(o/m/o),sample-5,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4,12.5,0.31,Anaerostipes hadrus (chromosome or plasmid): 1; ,10000000,1.58,0.12
tet(o/w),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,3,23.44,0.23,,10000000,1.19,0.09
tet(o/w/32/o),sample-5,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,14,35.62,1.02,,10000000,5.53,0.4
tet(q),sample-5,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,97.4164,97.82,Bacteroides fragilis (chromosome),354,100,25.16,Bacteroides fragilis (chromosome): 16; ,10000000,139.85,9.94
tet(w),sample-5,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,98.75,99.53,Unknown taxonomy (chromosome),140,98.91,10,Bifidobacterium longum (chromosome): 2; ,10000000,55.31,3.95
tet(w/32/o),sample-5,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,5,15.99,0.25,Trueperella pyogenes (chromosome): 2; ,10000000,1.98,0.1
tet(w/n/w),sample-5,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,13,54.64,0.94,,10000000,5.14,0.37
tet(x),sample-5,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.7429,99.74,Unknown taxonomy (chromosome or plasmid),84,100,9.67,,10000000,33.19,3.82
tet(x4),sample-5,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,10.02,0.32,,10000000,1.58,0.13
vang,sample-5,glycopeptide resistance gene cluster; Van ligase,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,2,23.14,0.14,,10000000,0.79,0.06
acrb,sample-4,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,6.86,0.1,,10000000,0.71,0.04
acrd,sample-4,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,2,7.42,0.1,,10000000,0.71,0.04
acrf,sample-4,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux,protein homolog,0,,,,,5,14.49,0.24,Escherichia coli (chromosome or plasmid): 1; ,10000000,1.78,0.09
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,sample-4,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,52,33.11,0.51,,10000000,18.51,0.18
cfxa4,sample-4,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,2,27.54,0.31,,10000000,0.71,0.11
cfxa6,sample-4,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Strict,96.3855,98.75,Bacteroides ovatus (no genomic info),113,100,9.82,,10000000,40.22,3.5
dfrf,sample-4,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,1,Perfect,99.3939,100,Unknown taxonomy (chromosome or plasmid),48,100,11.79,,10000000,17.09,4.2
emra,sample-4,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,1,12.79,0.13,,10000000,0.36,0.05
emrk,sample-4,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,1,8.43,0.08,,10000000,0.36,0.03
epta,sample-4,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,4,30.11,0.35,,10000000,1.42,0.12
ermb,sample-4,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,7,74.16,1.21,,10000000,2.49,0.43
escherichia coli acra,sample-4,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,25.13,0.25,,10000000,0.71,0.09
evgs,sample-4,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,8,26.6,0.33,,10000000,2.85,0.12
klebsiella pneumoniae kpnh,sample-4,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,antibiotic efflux,protein homolog,0,,,,,1,9.75,0.1,,10000000,0.36,0.04
lmrd,sample-4,ATP-binding cassette (ABC) antibiotic efflux pump,lincosamide antibiotic,antibiotic efflux,protein homolog,0,,,,,23,72.83,1.62,,10000000,8.19,0.58
lnuc,sample-4,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.3939,95.73,Anaerostipes hadrus (chromosome or plasmid),18,100,4.56,,10000000,6.41,1.62
mdtb,sample-4,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,4,18.73,0.19,,10000000,1.42,0.07
mdtc,sample-4,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,2,8.32,0.1,,10000000,0.71,0.04
mdtf,sample-4,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,6,21.55,0.29,,10000000,2.14,0.1
mdth,sample-4,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,3,29.69,0.37,,10000000,1.07,0.13
mdtm,sample-4,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,3,28.79,0.24,,10000000,1.07,0.09
mdto,sample-4,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,13.3,0.15,Escherichia coli (chromosome or plasmid): 1; ,10000000,0.71,0.05
mdtp,sample-4,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,4,33.95,0.41,Escherichia coli (chromosome or plasmid): 1; ,10000000,1.42,0.15
mef(en2),sample-4,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7512,99.5,Bacteroides fragilis (chromosome),82,100,9.54,Bacteroides fragilis (chromosome): 5; ,10000000,29.19,3.4
mel,sample-4,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,4,36.54,0.37,,10000000,1.42,0.13
mpha,sample-4,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation,protein homolog,0,,,,,1,13.91,0.14,,10000000,0.36,0.05
msba,sample-4,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,protein homolog,0,,,,,2,10.58,0.14,,10000000,0.71,0.05
pata,sample-4,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,13,46.25,0.56,Streptococcus pneumoniae (chromosome): 2; ,10000000,4.63,0.2
patb,sample-4,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,6,45.39,0.51,Streptococcus pneumoniae (chromosome): 1; ,10000000,2.14,0.18
pmrf,sample-4,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,4,37.77,0.58,Escherichia coli (chromosome or plasmid): 1; ,10000000,1.42,0.21
poxta,sample-4,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic,antibiotic target protection,protein homolog,0,,,,,10,17.86,0.01,,10000000,3.56,0
rlma(ii),sample-4,non-erm 23S ribosomal RNA methyltransferase (G748),macrolide antibiotic; lincosamide antibiotic,antibiotic target alteration,protein homolog,0,,,,,3,47.7,0.48,,10000000,1.07,0.17
tet(32),sample-4,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,18,44.48,0.6,,10000000,6.41,0.21
tet(40),sample-4,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,40,99.51,4.39,Faecalibacterium prausnitzii (chromosome): 2; ,10000000,14.24,1.56
tet(44),sample-4,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,8,39.37,0.56,Clostridioides difficile (chromosome): 2; ,10000000,2.85,0.2
tet(m),sample-4,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4,19.06,0.31,,10000000,1.42,0.11
tet(o),sample-4,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.12,Unknown taxonomy (chromosome or plasmid),147,100,10.76,Streptococcus suis (chromosome or plasmid): 2; Enterococcus faecium (chromosome or plasmid): 1; ,10000000,52.32,3.83
tet(o/32/o),sample-4,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6,10.99,0.41,,10000000,2.14,0.15
tet(o/m/o),sample-4,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,19,29.32,1.46,,10000000,6.76,0.52
tet(o/w),sample-4,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,95,64.53,7.28,Bifidobacterium longum (chromosome): 11; Ruthenibacterium lactatiformans (chromosome): 3; ,10000000,33.82,2.59
tet(o/w/32/o),sample-4,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,203,84.64,14.95,Streptococcus suis (chromosome): 2; Streptococcus suis (chromosome or plasmid): 4; ,10000000,72.26,5.32
tet(q),sample-4,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,2,Strict,72.3404,95.6,Unknown taxonomy (chromosome),38,98.43,2.79,,10000000,13.53,0.99
tet(w),sample-4,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,93.5938,97.83,Bifidobacterium longum (chromosome),370,99.69,25.88,Bifidobacterium longum (chromosome): 4; ,10000000,131.7,9.21
tet(w/32/o),sample-4,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6,21.61,0.4,Trueperella pyogenes (chromosome): 1; ,10000000,2.14,0.14
tet(w/n/w),sample-4,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,135,48.02,10.49,Bifidobacterium longum (chromosome): 5; Trueperella pyogenes (chromosome): 3; Ruthenibacterium lactatiformans (chromosome): 1; ,10000000,48.05,3.73
teta(46),sample-4,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2,12.81,0.17,,10000000,0.71,0.06
teta(p),sample-4,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2,23.75,0.24,,10000000,0.71,0.09
tetb(46),sample-4,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2,11.17,0.17,,10000000,0.71,0.06
tolc,sample-4,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,4,30.78,0.4,,10000000,1.42,0.14
yoji,sample-4,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic,antibiotic efflux,protein homolog,0,,,,,5,15.21,0.2,,10000000,1.78,0.07
aad(6),sample-3,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4,45.37,0.72,Roseburia hominis (chromosome or plasmid): 1; ,10000000,1.59,0.29
acrb,sample-3,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2,9.52,0.1,,10000000,0.79,0.04
acre,sample-3,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux,protein homolog,0,,,,,1,12.95,0.13,,10000000,0.4,0.05
acrf,sample-3,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux,protein homolog,0,,,,,1,3.03,0.03,Escherichia coli (chromosome or plasmid): 1; ,10000000,0.4,0.01
ant(6)-ia,sample-3,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,1,17.25,0.17,,10000000,0.4,0.07
aph(2'')-ig,sample-3,APH(2''),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,19.76,0.2,Ruthenibacterium lactatiformans (plasmid): 1; ,10000000,0.79,0.08
aph(3')-iiia,sample-3,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,8,71.95,1.18,,10000000,3.17,0.47
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,sample-3,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,83,52.82,0.8,,10000000,32.89,0.32
bifidobacterium bifidum iles conferring resistance to mupirocin,sample-3,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin,antibiotic target alteration,protein homolog,0,,,,,1,4.51,0.05,,10000000,0.4,0.02
cfxa4,sample-3,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,1,15.53,0.16,,10000000,0.4,0.06
cfxa6,sample-3,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Strict,96.3855,98.75,Bacteroides ovatus (no genomic info),123,100,12.08,,10000000,48.74,4.79
dfrf,sample-3,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,7,87.88,2.03,,10000000,2.77,0.8
ermb,sample-3,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,8,77.24,1.37,,10000000,3.17,0.54
lnuc,sample-3,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.3939,98.17,Unknown taxonomy (chromosome or plasmid),13,100,2.81,,10000000,5.15,1.11
mef(en2),sample-3,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7512,99.5,Bacteroides fragilis (chromosome),151,100,16.81,Bacteroides fragilis (chromosome): 9; ,10000000,59.84,6.66
oxa-518,sample-3,OXA beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,1,2.95,0.03,,10000000,0.4,0.01
tem-219,sample-3,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation,protein homolog,0,,,,,2,23.69,0.35,,10000000,0.79,0.14
tet(32),sample-3,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,5,25.31,0.3,,10000000,1.98,0.12
tet(40),sample-3,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,32,100,3.58,Streptococcus suis (chromosome): 7; ,10000000,12.68,1.42
tet(m),sample-3,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6,29.27,0.47,,10000000,2.38,0.19
tet(o),sample-3,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.75,Unknown taxonomy (chromosome or plasmid),40,81.2,3.02,Anaerostipes hadrus (chromosome or plasmid): 1; ,10000000,15.85,1.2
tet(o/m/o),sample-3,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,5,23.39,0.39,,10000000,1.98,0.15
tet(o/w),sample-3,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,94,86.72,7.07,Ruthenibacterium lactatiformans (chromosome): 13; Bifidobacterium longum (chromosome): 7; Trueperella pyogenes (chromosome): 2; Streptococcus suis (chromosome): 1; Streptococcus suis (chromosome or plasmid): 1; ,10000000,37.25,2.8
tet(o/w/32/o),sample-3,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,82,49.22,6.18,Trueperella pyogenes (chromosome): 3; ,10000000,32.5,2.45
tet(q),sample-3,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,93.465,96.91,Bacteroides fragilis (chromosome),47,96.4,3.14,,10000000,18.63,1.24
tet(w),sample-3,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,99.22,Unknown taxonomy (chromosome),561,100,41.11,Ruthenibacterium lactatiformans (chromosome): 4; Bifidobacterium longum (chromosome): 4; ,10000000,222.31,16.29
tet(w/32/o),sample-3,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6,31.98,0.4,Trueperella pyogenes (chromosome): 3; ,10000000,2.38,0.16
tet(w/n/w),sample-3,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,66,51.46,5.12,Bifidobacterium longum (chromosome): 4; ,10000000,26.15,2.03
tetb(46),sample-3,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2,7.83,0.16,,10000000,0.79,0.06
vibrio anguillarum chloramphenicol acetyltransferase,sample-3,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,46.08,0.46,,10000000,0.79,0.18
aads,sample-2,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2,14,0.28,,10000000,0.77,0.11
axyy,sample-2,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin,antibiotic efflux,protein homolog,0,,,,,1,4.78,0.05,,10000000,0.39,0.02
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,sample-2,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,73,63.89,0.72,,10000000,28.2,0.28
bifidobacterium bifidum iles conferring resistance to mupirocin,sample-2,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin,antibiotic target alteration,protein homolog,0,,,,,1,4.51,0.05,,10000000,0.39,0.02
cbla-1,sample-2,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,1,9.99,0.1,,10000000,0.39,0.04
cfxa3,sample-2,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,3,38.72,0.47,,10000000,1.16,0.18
cfxa6,sample-2,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Strict,96.3855,98.75,Bacteroides ovatus (no genomic info),50,100,5.37,,10000000,19.32,2.07
dfrf,sample-2,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,1,Perfect,99.3939,100,Unknown taxonomy (chromosome or plasmid),31,100,8.31,,10000000,11.98,3.21
erm(35),sample-2,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,1,5.37,0.05,,10000000,0.39,0.02
ermb,sample-2,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,1,Strict,86.747,98.61,Unknown taxonomy (chromosome or plasmid),12,86.75,2.18,,10000000,4.64,0.84
lmrd,sample-2,ATP-binding cassette (ABC) antibiotic efflux pump,lincosamide antibiotic,antibiotic efflux,protein homolog,0,,,,,6,25.66,0.36,,10000000,2.32,0.14
lnuc,sample-2,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,6,75.56,1.56,Anaerostipes hadrus (chromosome or plasmid): 1; ,10000000,2.32,0.6
lsac,sample-2,lsa-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic,antibiotic target protection,protein homolog,0,,,,,2,15.89,0.2,,10000000,0.77,0.08
mef(en2),sample-2,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,1,Strict,89.5522,99.44,Bacteroides fragilis (chromosome),43,100,4.71,Bacteroides fragilis (chromosome): 2; ,10000000,16.61,1.82
msba,sample-2,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,protein homolog,0,,,,,2,17.15,0.17,,10000000,0.77,0.07
nimj,sample-2,nitroimidazole reductase,nitroimidazole antibiotic,antibiotic inactivation,protein homolog,1,Strict,67.4699,61.61,,,,,,10000000,0,0
pata,sample-2,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,7,35.81,0.34,Streptococcus pneumoniae (chromosome): 2; ,10000000,2.7,0.13
patb,sample-2,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,2,13.75,0.17,Streptococcus pneumoniae (chromosome): 1; ,10000000,0.77,0.07
pmra,sample-2,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,2,15.5,0.23,Streptococcus pneumoniae (chromosome): 1; ,10000000,0.77,0.09
tet(32),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,10,43.07,0.49,,10000000,3.86,0.19
tet(40),sample-2,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7543,99.26,Unknown taxonomy (chromosome),55,100,6.18,,10000000,21.25,2.39
tet(m),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,7,43.96,0.48,Staphylococcus pseudintermedius (chromosome or plasmid): 1; ,10000000,2.7,0.19
tet(o),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.44,Unknown taxonomy (chromosome or plasmid),112,100,7.98,Streptococcus suis (chromosome or plasmid): 3; Anaerostipes hadrus (chromosome or plasmid): 1; Campylobacter coli (chromosome or plasmid): 1; ,10000000,43.27,3.08
tet(o/32/o),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6,26.25,0.47,,10000000,2.32,0.18
tet(o/m/o),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,13,24.69,1.02,,10000000,5.02,0.39
tet(o/w),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,43,53.8,3.32,Ruthenibacterium lactatiformans (chromosome): 5; ,10000000,16.61,1.28
tet(o/w/32/o),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,68,52.4,5.31,Trueperella pyogenes (chromosome): 1; ,10000000,26.27,2.05
tet(q),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,21,73.81,1.41,Prevotella intermedia (chromosome): 1; ,10000000,8.11,0.54
tet(t),sample-2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,96.1656,31.49,,,,,,10000000,0,0
